Governate,Area Name,ATM Name,Latitude,Longitude,Description
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.912211,30.170589,Withdrawal
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.9107890830001,30.1770190500001,Withdrawal -Deposit – Forex
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.814059021,29.988302447,Withdrawal -Deposit – Forex
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.91584,30.176447,Withdrawal
Al-Behera,Abu Al Matamir,Higher Institute of Administrative Scie. Janaklis,30.8601142,30.15493118,"سحب فقط
"
Al-Behera,Abu Al Matamir,Etsalat - Almostaqbal Franchiez -Abo Almatamir,30.9063534,30.1736873,"سحب فقط
"
Al-Behera,Abu Al Matamir,Etsalat Albehera,30.91158881,30.17717889,"سحب فقط
"
Al-Behera,Abu Al Matamir,Abo Almatamir Health Administration,30.912211,30.170589,"Cash Dispenser only
"
Al-Behera,Abu Al Matamir,Abu Almatamir Central Hospital,30.91584,30.176447,"Cash Dispenser only
"
Al-Behera,Abu Al Matamir,Tamwely Abu El Matamir,30.91290404,30.17689168,"withdrawal,deposit"
Al-Behera,Abu Al Matamir,Tanmiya Abu El Matamir,30.91144225,30.17490715,"withdrawal,deposit "
Al-Behera,Abu Al Matamir,Tanmiya Nasser,30.92230447,29.95121672,"withdrawal,deposit"
Al-Behera,Abu Homos,Abu Homos,31.099697,30.311892,Withdrawal
Al-Behera,Abu Homos,Abu Homos,31.100602,30.31555,Withdrawal
Al-Behera,Abu Homos,Abu Homos,31.1033,30.310782,Withdrawal
Al-Behera,Abu Homos,Abu Homos,31.0978261990001,30.314743218,Withdrawal -Deposit – Forex
Al-Behera,Abu Homos,Abu Homos,31.105004,30.314502,Withdrawal
Al-Behera,Abu Homos,Abo Homos Educational Administration,31.1033,30.310782,withdrawal only
Al-Behera,Abu Homos,The local unit Abo Homos,31.100602,30.31555,withdrawal only
Al-Behera,Abu Homos,Abu Homos Central Hospital,31.105004,30.314502,"Cash Dispenser only
"
